Identifier,Title,Description,Labels,Priority,Estimate,Parent
LF-EP1,Agent Configuration & Prompts,"Goal: Author, version, and test prompts for every agent.\nAcceptance:\n- All agents have system-prompt.md filled and reviewed\n- Prompt template sections standardized and followed\n- Evaluations exist for prioritized agents","epic,agents,prompts,python-only",High,8,
LF-EP2,Orchestration & Multi-Agent (LangChain + Semantic Kernel),"Goal: Implement multi-agent choreography in Python using LangChain and integrate Semantic Kernel for skills/planning.\nAcceptance:\n- Python-only orchestration with LangChain; no .NET\n- Semantic Kernel (Python) integrated for skills/plans\n- Two E2E workflows operational (GTM Content, Security Compliance)","epic,orchestration,langchain,semantic-kernel,python-only",High,8,
LF-EP3,Knowledge Grounding Manifests,"Goal: Curate, validate, and maintain url-manifest-* for each agent.\nAcceptance:\n- Every manifest validated against schema\n- Source scope/notes filled; duplicates de-duplicated\n- Update cadence defined and documented","epic,grounding,manifests,knowledge",High,5,
LF-EP4,Runtime & Provider Profiles,"Goal: Org-wide model/provider defaults and environment overrides.\nAcceptance:\n- Provider/model matrix and tag-based overrides\n- Environment profiles (dev/stage/prod) documented and applied\n- Cost guardrails and token limits enforced","epic,runtime,models,providers,python-only",High,5,
LF-EP5,Observability & QA,"Goal: Add logging, evaluation metrics, and regression checks.\nAcceptance:\n- Structured logs for agent runs\n- Minimal eval suite: accuracy, cost, latency\n- Prompt drift detection for top agents","epic,qa,observability,evals",High,5,
LF-EP6,Security & Compliance,"Goal: Data handling, PII redaction, and compliance checks for regulated agents.\nAcceptance:\n- PII redaction middleware applied where needed\n- Output compliance checks for security/compliance agents\n- Secret/tool access controls in place","epic,security,compliance,governance",High,5,
LF-EP7,Docs & Enablement,"Goal: Clear documentation, runbooks, and contribution standards.\nAcceptance:\n- Per-agent README with purpose, inputs, outputs, owners\n- Python coding standards and contribution guide\n- Workflow runbooks published","epic,docs,enablement",Medium,3,
LF-S1.1,Populate prompts for top-priority 10 agents,"Write and review system-prompt.md for top 10 agents.\nAcceptance:\n- Uses TEMPLATES/SYSTEM_PROMPT_TEMPLATE.md sections\n- Includes guardrails and output contract\n- 3–5 sample tasks + expected outputs per agent","story,agents,prompts,python-only",High,5,LF-EP1
LF-S1.2,Standardize prompt template and acceptance checks,"Finalize prompt sections (Role, Mission, Guardrails, Operating, Output).\nAcceptance:\n- Template approved and referenced in AGENTS/AGENTS.md\n- Checklist for prompt reviews published","story,prompts,process",Medium,2,LF-EP1
LF-S1.3,Prompt versioning and changelog per agent,"Add version field + CHANGELOG in agent READMEs.\nAcceptance:\n- Version bump rule and changelog template adopted\n- Registry includes prompt version from agent.config.json","story,prompts,versioning",Medium,2,LF-EP1
LF-S1.4,Prompt evaluation harness (5 agents),"Create golden tasks + expected outputs for 5 agents.\nAcceptance:\n- Local runner executes tasks and reports pass/fail\n- Document known limitations","story,prompts,qa,evals",High,3,LF-EP1
LF-S1.5,Red-teaming guardrails and negative cases,"Define adversarial prompts and forbidden outputs.\nAcceptance:\n- Negative test set per regulated agent category\n- Document mitigations and follow-ups","story,prompts,security",Medium,2,LF-EP1
LF-S2.1,Select LangChain orchestration approach,"Decide LCEL/AgentExecutor/LangGraph patterns for multi-agent flows.\nAcceptance:\n- Architecture doc updated with chosen patterns\n- Example flow skeleton in Python","story,orchestration,langchain,python-only",High,3,LF-EP2
LF-S2.2,Implement multi-agent handoff schema,"Define message envelope and handoff rules.\nAcceptance:\n- JSON schema for request/response across agents\n- Error propagation and retry semantics defined","story,orchestration,contracts,langchain",High,3,LF-EP2
LF-S2.3,Integrate Semantic Kernel (Python) for skills/planning,"Use SK for skills registry and optional planning.\nAcceptance:\n- Skills registered and invokable from orchestration\n- Clear boundary between LangChain agents and SK skills","story,semantic-kernel,orchestration,python-only",High,3,LF-EP2
